0,61,7,92,100,45,4,0
1,63,60,11,16,79,5,0
2,5,72,94,89,80,82,0
3,47,53,89,68,27,16,1
4,1,32,66,48,78,20,0
5,79,16,67,94,97,100,1
6,57,41,25,62,90,53,0
7,21,47,31,78,63,27,0
8,28,89,3,35,31,68,1
9,94,11,41,7,4,14,1
10,71,7,13,56,44,40,0
11,12,10,39,24,52,73,0
12,4,60,72,92,60,24,0
13,92,50,66,63,90,6,1
14,9,28,16,43,86,41,0
15,33,64,30,80,84,37,0
16,66,57,71,38,19,19,1
17,14,56,66,54,84,95,1
18,36,91,31,26,67,52,1
19,59,67,19,97,48,76,0
20,10,22,18,45,61,54,1
21,58,92,52,7,25,93,1
22,31,67,72,12,73,27,0
23,80,31,52,77,63,87,0
24,88,66,31,29,91,30,1
25,19,70,56,9,93,11,0
26,79,23,69,6,76,14,0
27,57,43,5,89,96,64,0
28,45,58,45,18,12,64,0
29,54,33,43,16,37,2,0
30,98,37,99,8,82,71,0
31,43,41,24,55,6,56,1
32,92,25,82,71,86,1,0
33,33,19,91,10,47,76,0
34,59,48,76,83,88,38,1
35,9,44,84,87,95,3,0
36,31,10,56,51,65,11,0
37,8,69,86,27,89,80,1
38,92,42,48,56,70,29,1
39,93,36,11,70,47,64,1
40,10,57,32,17,7,61,1
41,97,9,43,57,16,95,0
42,78,24,52,31,7,99,1
43,28,86,54,40,46,69,0
44,26,97,19,49,38,93,1
45,20,64,68,84,86,27,0
46,100,96,44,90,40,51,0
47,49,62,13,24,39,59,1
48,99,12,31,63,53,65,0
49,41,43,32,2,61,15,0
50,98,96,95,83,66,15,1
51,42,80,90,56,78,38,0
52,98,24,74,80,97,19,0
53,46,96,94,100,89,90,1
54,95,60,63,9,24,95,0
55,61,86,65,82,56,49,0
56,20,93,12,28,96,29,1
57,63,85,85,94,32,92,0
58,7,99,99,95,68,53,0
59,2,53,62,42,12,72,1
60,58,88,20,32,1,95,1
61,62,48,79,24,23,41,1
62,44,52,31,80,26,57,1
63,2,4,65,68,32,47,0
64,97,78,67,39,38,3,0
65,69,80,25,46,6,83,1
66,78,73,1,74,78,99,0
67,67,71,40,18,75,63,0
68,40,48,65,27,52,30,0
69,22,35,74,52,24,20,0
70,74,20,84,88,28,84,1
71,19,71,28,15,78,62,0
72,92,28,69,97,27,48,1
73,31,3,65,72,2,75,0
74,54,61,13,34,68,91,0
75,70,73,51,30,74,59,1
76,39,44,73,7,50,76,1
77,91,81,87,52,36,39,1
78,69,21,59,77,83,77,1
79,17,82,14,66,14,75,0
80,65,74,65,91,76,12,0
81,44,95,43,53,66,58,0
82,39,51,7,37,51,20,1
83,91,15,75,11,43,8,0
84,29,88,41,32,17,88,0
85,9,7,77,40,63,89,0
86,99,44,64,8,94,56,0
87,57,70,98,19,65,24,1
88,57,67,91,19,38,10,1
89,82,1,5,79,37,100,0
90,52,39,81,93,35,87,0
91,46,86,27,53,44,89,0
92,95,57,99,74,71,37,0
93,52,37,40,53,10,25,0
94,74,92,50,87,57,87,1
95,5,6,19,79,25,33,0
96,31,70,24,97,18,83,0
97,6,15,21,99,13,96,1
98,82,58,77,73,19,67,0
99,51,55,72,70,7,66,0
100,49,4,12,16,41,56,0
101,50,64,69,92,77,83,0
102,77,81,53,92,76,68,1
103,83,84,29,86,98,44,1
104,33,54,27,98,74,66,0
105,21,20,45,91,21,17,1
106,97,100,16,1,20,37,0
107,64,17,83,60,68,77,0
108,73,94,81,79,44,66,0
109,69,16,79,13,37,84,0
110,5,42,50,65,58,3,1
111,1,19,12,11,65,14,1
112,40,9,81,78,100,49,1
113,25,98,98,88,52,85,0
114,78,76,97,70,77,43,1
115,37,12,30,95,81,25,1
116,4,25,7,41,18,51,0
117,37,32,43,89,98,21,0
118,73,91,3,32,8,61,0
119,80,43,60,84,40,73,1
120,24,9,60,47,91,14,0
121,98,94,95,90,49,53,0
122,40,86,83,36,5,66,0
123,42,92,81,20,36,54,1
124,10,82,84,8,85,81,1
125,3,48,72,64,65,61,1
126,45,36,25,67,73,9,1
127,74,9,13,50,98,5,1
128,64,24,46,13,46,5,1
129,61,93,66,31,18,90,0
130,41,87,77,64,83,73,1
131,69,16,4,50,34,58,0
132,13,13,35,27,51,6,0
133,81,92,62,100,92,100,0
134,44,54,47,3,68,26,0
135,12,77,55,94,2,40,0
136,48,90,22,98,30,45,0
137,23,50,74,88,42,87,0
138,29,13,3,37,31,36,1
139,3,84,83,1,52,36,1
140,6,31,40,38,100,33,0
141,28,49,64,28,4,31,1
142,87,81,65,17,97,94,0
143,86,4,75,1,35,35,0
144,24,43,57,75,7,97,1
145,93,17,41,51,64,88,0
146,38,36,99,89,88,67,1
147,11,9,8,33,12,76,0
148,6,60,3,71,96,100,0
149,20,28,76,98,31,33,1
150,63,41,64,53,66,6,0
151,58,55,4,74,99,58,0
152,98,85,49,39,54,65,1
153,99,77,76,74,90,99,1
154,55,49,97,55,26,72,0
155,74,84,77,55,19,5,1
156,20,46,48,7,8,59,0
157,12,38,14,48,46,78,1
158,49,32,65,12,6,71,0
159,13,96,100,20,13,44,1
160,54,6,53,47,91,97,1
161,76,90,69,34,46,17,0
162,16,84,42,47,86,20,0
163,75,79,53,35,4,25,1
164,45,70,87,34,88,17,1
165,75,12,99,88,68,93,1
166,81,61,58,76,56,29,0
167,29,24,33,71,76,35,0
168,47,52,86,86,65,14,0
169,3,59,19,58,21,68,0
170,84,59,34,13,10,100,1
171,90,16,74,79,59,79,1
172,84,16,33,11,1,43,0
173,47,88,47,60,51,77,1
174,56,64,73,99,15,71,0
175,19,20,62,86,87,62,0
176,56,48,40,50,2,2,0
177,82,37,22,97,8,5,1
178,40,53,52,57,94,16,1
179,78,89,71,38,60,58,1
180,47,94,28,88,92,66,0
181,14,89,19,71,2,3,1
182,30,48,75,84,49,22,1
183,93,41,72,58,31,14,1
184,93,88,21,44,1,76,0
185,60,77,39,98,71,40,0
186,18,66,73,42,32,34,1
187,90,10,74,89,75,7,1
188,10,92,7,63,13,4,0
189,69,23,80,40,33,18,0
190,62,25,50,51,80,95,0
191,72,47,31,47,13,45,0
192,31,98,78,74,75,44,0
193,83,92,81,86,18,24,1
194,9,19,34,20,12,35,1
